heroID,userName,walletAddr,tokenData,walletONEbalance,mainClass,Level,Summoner,Assistant,Main class,Sub class,Profession,Gender,Element,Xp,Level,Hp,Mp,Sp,Stamina,Summons,Stat boost1,Stat boost2,Strength,Endurance,Wisdom,Vitality,Dexterity,Intelligence,Luck,Agility,Mining,Gardening,Foraging,Fishing
29, Grizzmancer,0x244729f7e533bdc671e1c5d6419c0c2c215a5334,14.0 DFKSHVAS;1.0 DFKBLUEEGG;1e-18 AVAX;953.0 DFKTEARS;5462.898985669251 xJEWEL;,91.00417920900107,ARCHER,Gen 0 - RARE,,,Archer,Pirate,foraging,male,ice,1239,3,188,61,0,26,∞,DEX,LCK,9,10,8,9,16,10,10,9,0,0,88,0
11, Pogo,0x85309ee0e9a7bf9a7d2e86ca89282b6fc7315f5b,36.0 DFKDRKWD;22.0 DFKAMBRTFY;157.0 DFKTEARS;1.0 DFKGREGG;2.0 DFKSHVAS;52.0 DFKRCKRT;277.4623103133723 JEWEL;5.0 DFKSWFTHSL;25509.701601532637 xJEWEL;7.0 DFKGLDVN;182.0 DFKBLOATER;36.0 DFKRDLF;111.0 DFKRGWD;,44.584739440305945,MONK,Gen 0 - MYTHIC,,,Monk,Priest,foraging,male,lightning,0,1,135,40,0,25,∞,DEX,INT,10,9,9,8,10,7,8,11,0,0,0,0
7, Thoral,0xd021bff301828ab0f8fa71516d0414ff4ef2b8e1,90.0 DFKRDLF;1.0 DFKGLDVN;5.0 DFKSWFTHSL;45.0 DFKAMBRTFY;140.0 DFKBLOATER;98.0 DFKRCKRT;348.0 DFKTEARS;73.0 DFKDRKWD;2559.994 DFKGOLD;281.0 DFKRGWD;13.0 DFKSHVAS;0.75 XYA;5.0153136462e-08 UST;,9.999999996623005,WARRIOR,Gen 0 - MYTHIC,,,Warrior,Warrior,mining,male,light,1158,1,150,25,0,25,∞,STR,END,14,9,6,11,8,6,11,7,2,0,2,16
9, Professor Tango,0xca29713bca46e6854d50fe5e6c48b6e763c93f47,1300.2173748668047 JEWEL;32615.167433118862 xJEWEL;1400.0 DFKTEARS;215.0 DFKRCKRT;23.0 DFKSHVAS;161.0 DFKDRKWD;942.2641539539285 AVAX;19.0 DFKSWFTHSL;188.0 DFKRGWD;1.0 DFKABLPTN;1645.508 DFKGOLD;150.0 DFKBLOATER;88.0 DFKAMBRTFY;164.0 DFKRDLF;29.0 DFKGLDVN;,858.1865121567695,PRIEST,Gen 0 - MYTHIC,,,Priest,Knight,gardening,male,light,4000,3,151,84,0,26,∞,WIS,VIT,7,13,20,12,7,14,10,7,2,64,7,7
33, No Face,0x283125b8dba28469eeb4bae5e1acfe44df9d101a,106.45358867540784 xJEWEL;1758.0 DFKTEARS;53.0 DFKSHVAS;31.921238405961486 JEWEL;73.0 DFKSWFTHSL;715.0 DFKBLOATER;1106.0 DFKRGWD;225.0 DFKRDLF;1.0 DFKGREGG;320.0 DFKAMBRTFY;45.0 DFKGLDVN;1.0 HSNAKE;1.0 DFKBLUEEGG;4.03908677585e-07 JEWEL-LP;4e-18 BUSD;1.0 DFKGOLDEGG;666.0 DFKRCKRT;471.0 DFKDRKWD;,65.54892873235404,WARRIOR,Gen 0 - LEGENDARY,,,Warrior,Thief,foraging,female,water,2366,3,210,33,0,26,∞,DEX,AGI,14,11,7,10,14,7,8,10,0,0,91,0
19, Apate,0x38edf25377c76281611165ed28c7812e2dd0bb90,92.0 DFKRGWD;1.0 DFKSHVAS;115.0 DFKTEARS;42.0 DFKRCKRT;46.2 JEWEL;30.0 DFKBLOATER;15.0 DFKAMBRTFY;22.0 DFKRDLF;5.0 DFKSWFTHSL;23.0 DFKDRKWD;5.0 DFKGLDVN;0.8945489303167838 JEWEL-LP;0.4338499118957078 JEWEL-LP;487.5 DFKGOLD;100.0 ANT;50.0 MIS;,7.488702539616623,WIZARD,Gen 0 - MYTHIC,,,Wizard,Priest,gardening,female,fire,390,2,127,87,0,26,∞,WIS,INT,5,7,18,7,6,15,8,11,7,15,12,2
37, Hiram,0x778da1777a7c506b65297a48d3224b99e95094f3,34.0 DFKSHVAS;1e-18 AVAX;1001.0172469549361 xJEWEL;100.0 DFKGLDVN;1.0 DFKGOLDEGG;1.0 DFKGREGG;19683566.0 HSNAKE;9.99995016605e-07 xTRANQ;67.32100307732317 JEWEL;2.54596368434e-07 SLP;334.0 DFKRCKRT;2.7e-17 MIS;4584.0 DFKTEARS;2.0 DFKBLUEEGG;593.0 DFKRDLF;2706.468 DFKGOLD;403.0 DFKDRKWD;87.0 DFKSWFTHSL;371.0 DFKAMBRTFY;616.0 DFKBLOATER;236.0 DFKRGWD;8.52037182202e-07 TRANQ;,192.48960549275097,WIZARD,Gen 0 - MYTHIC,,,Wizard,Archer,mining,male,earth,3315,4,156,110,0,27,∞,STR,AGI,10,12,15,12,7,15,9,9,67,0,38,37
5, Aila,0x14ee5bd8ac6a4000d85e721193043489c021d1df,38923.47847086525 GRAV;762.0 VNL;1000.0 LDT;86.0 DFKSWFTHSL;109.0 DFKGLDVN;539.0 DFKRDLF;377.0 DFKAMBRTFY;1882.0 DFKBLOATER;2726.3165521825913 JEWEL;5.000000283625414 1ETH;837.0 DFKRCKRT;2478.0 DFKTEARS;518.0 DFKDRKWD;771.4 DFKGOLD;2031.0 DFKRGWD;70.0 DFKSHVAS;1.0 DFKBLUEEGG;2.0 DFKGREGG;3.43912722884e-07 UST;1.0 HSNAKE;45000000.0 BABYJEWEL;1158.222 VINCI;24734.0 JEWEL;,1271.746945587208,THIEF,Gen 0 - MYTHIC,,,Thief,Pirate,mining,female,dark,440,2,164,50,0,26,∞,STR,END,16,8,8,9,8,8,11,10,12,0,7,24
39, Babypunch,0x1a914c1ef5ed6db9525ed049f6ad49f7849d5d84,1306.0 DFKRDLF;0.2806490732820876 SPEED;2328.0702264392858 MAGIC;1928.0 DFKBLOATER;1009.0 DFKAMBRTFY;1423.0 DFKDRKWD;4381.0 DFKRGWD;152.6770167165966 JEWEL;230.0 DFKSWFTHSL;6751.0 DFKTEARS;76.0 DFKSHVAS;8.512450569205e-06 AVAX;7643.873966418142 xJEWEL;191.49461117945586 UST;119522.11 DFKGOLD;6.0 DFKGREGG;232.0 DFKGLDVN;1.0 DFKBLUEEGG;3.0 HSNAKE;1.0 MET;25.0 USBL;2006.0 DFKRCKRT;,33443.938522402445,ARCHER,Gen 0 - RARE,,,Archer,Priest,foraging,female,dark,2361,5,229,70,0,27,∞,INT,INT,9,11,8,8,21,13,11,13,5,2,153,3
21, pieface,0x0a81cacc9fd26f34363a415b6dd69c45ca1837e4,259.0 DFKRCKRT;190.0 DFKDRKWD;657.0 DFKRGWD;843.0 DFKBLOATER;218.04325383135932 JEWEL;26396.846 DFKGOLD;29.0 DFKSWFTHSL;6.0 DFKSHVAS;37.0 DFKGLDVN;1e-18 1ETH;1e-18 WMATIC;1e-18 LUNA;2.17e-06 1WBTC;126666.1073116647 xJEWEL;109.0 DFKAMBRTFY;1000.0 BUSD;1814.0 DFKTEARS;0.000115970925147649 AVAX;189.0 DFKRDLF;9.22167513109e-07 UST;100.0 ANT;9166.0 JEWEL;,31.317591747222377,THIEF,Gen 0 - RARE,,,Thief,Monk,gardening,female,fire,3000,2,177,46,0,26,∞,END,VIT,8,8,7,8,8,9,12,11,8,27,17,21
